date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-14,16:00,Fenerbahce,Trabzonspor,Süper Lig,Turkey,Over 1.5,Over 1.5 Goals,2.1580874275769357,8.0,27.3,59.0,0.273,0.418,Medium Risk
2025-09-14,15:30,Manchester City,Manchester United,Premier League,England,Away Under 1.5,Away Team Under 1.5 Goals,1.7638775407518892,8.0,17.0,66.3,0.17,0.416,Low Risk
2025-09-14,15:30,Widzew Łódź,Arka Gdynia,Ekstraklasa,Poland,Home/Draw,Home Win or Draw,2.18,8.0,27.4,58.4,0.274,0.416,Medium Risk
2025-09-14,13:30,FC St. Pauli,FC Augsburg,Bundesliga,Germany,Home/Draw,Home Win or Draw,1.97,8.0,22.1,62.0,0.221,0.414,Medium Risk
2025-09-14,14:30,Grasshoppers,Lausanne,Super League,Switzerland,Away Under 1.5,Away Team Under 1.5 Goals,1.7374231409098555,8.0,15.7,66.6,0.157,0.413,Low Risk
2025-09-14,23:00,Club Queretaro,Monterrey,Liga MX,Mexico,Over 9.5 Corners,Over 9.5 Total Corners,1.763733155676069,8.0,16.4,66.0,0.164,0.413,Low Risk
2025-09-14,13:00,KuPS,Ilves,Veikkausliiga,Finland,Over 2.5,Over 2.5 Goals,1.8175633658583208,8.0,17.5,64.7,0.175,0.411,Medium Risk
2025-09-14,15:00,Sarpsborg 08 FF,Sandefjord,Eliteserien,Norway,Over 1.5,Over 1.5 Goals,1.8860858701972167,8.0,19.3,63.2,0.193,0.411,Medium Risk
2025-09-14,11:00,Fayal,CD Olivais e Moscavide,Taça de Portugal,Portugal,BTTS No,Both Teams to Score - No,1.86,8.0,18.5,63.7,0.185,0.41,Medium Risk
2025-09-14,13:00,Lille,Toulouse,Ligue 1,France,Over 1.5,Over 1.5 Goals,1.8285093170930296,8.0,17.4,64.2,0.174,0.409,Medium Risk
2025-09-14,15:00,Universitatea Craiova,Farul Constanta,Liga I,Romania,BTTS No,Both Teams to Score - No,1.98,8.0,21.3,61.3,0.213,0.409,Medium Risk
2025-09-14,15:00,KFUM Oslo,Viking,Eliteserien,Norway,Over 1.5,Over 1.5 Goals,1.8551585610783008,8.0,17.9,63.5,0.179,0.408,Medium Risk
2025-09-14,11:30,SpVgg Greuther Fürth,1. FC Kaiserslautern,2. Bundesliga,Germany,Over 9.5 Corners,Over 9.5 Total Corners,1.7705864005706209,7.9,15.3,65.1,0.153,0.406,Low Risk
2025-09-14,14:00,Kayserispor,Goztepe,Süper Lig,Turkey,Over 9.5 Corners,Over 9.5 Total Corners,1.7378604968140885,7.8,14.3,65.8,0.143,0.406,Low Risk
2025-09-14,15:15,Paris Saint Germain,Lens,Ligue 1,France,Home/Draw,Home Win or Draw,1.92,8.0,19.0,62.0,0.19,0.405,Medium Risk
2025-09-14,13:00,KuPS,Ilves,Veikkausliiga,Finland,Under 9.5 Corners,Under 9.5 Total Corners,1.5819505703112786,6.4,9.2,69.1,0.092,0.404,Low Risk
2025-09-14,12:30,Utrecht,Groningen,Eredivisie,Netherlands,Home/Draw,Home Win or Draw,2.08,8.0,22.6,58.9,0.226,0.404,Medium Risk
2025-09-14,11:30,SpVgg Greuther Fürth,1. FC Kaiserslautern,2. Bundesliga,Germany,Home/Draw,Home Win or Draw,1.91,8.0,18.3,62.0,0.183,0.403,Medium Risk
2025-09-14,18:00,Csikszereda,FCSB,Liga I,Romania,BTTS No,Both Teams to Score - No,1.82,7.8,16.0,63.7,0.16,0.403,Medium Risk
2025-09-14,11:00,Southampton,Portsmouth,Championship,England,Over 9.5 Corners,Over 9.5 Total Corners,2.0274395601579744,8.0,21.2,59.8,0.212,0.403,Medium Risk
2025-09-14,11:30,SV Elversberg,Dynamo Dresden,2. Bundesliga,Germany,Draw/Away,Draw or Away Win,1.99,7.8,19.3,60.0,0.193,0.398,Medium Risk
2025-09-14,13:00,Pisa,Udinese,Serie A,Italy,Under 11.5 Corners,Under 11.5 Total Corners,1.6501134142368672,6.8,11.0,67.3,0.11,0.397,Low Risk
2025-09-14,12:45,Oţelul,FC Botosani,Liga I,Romania,Draw/Away,Draw or Away Win,1.98,7.6,18.7,60.0,0.187,0.396,Medium Risk
2025-09-14,13:00,Lille,Toulouse,Ligue 1,France,BTTS No,Both Teams to Score - No,1.92,7.4,17.0,60.9,0.17,0.395,Medium Risk
2025-09-14,11:30,Preußen Münster,Fortuna Düsseldorf,2. Bundesliga,Germany,Draw/Away,Draw or Away Win,1.86,7.1,15.3,62.0,0.153,0.394,Medium Risk
2025-09-14,15:15,Strasbourg,Le Havre,Ligue 1,France,Under 11.5 Corners,Under 11.5 Total Corners,1.6050988369139925,5.3,8.0,67.3,0.08,0.393,Low Risk
2025-09-14,15:00,KFUM Oslo,Viking,Eliteserien,Norway,Away Under 1.5,Away Team Under 1.5 Goals,1.6330564479092942,5.5,8.7,66.6,0.087,0.392,Low Risk
2025-09-14,14:45,Telstar,Fortuna Sittard,Eredivisie,Netherlands,Draw/Away,Draw or Away Win,1.67,5.7,9.5,65.6,0.095,0.391,Low Risk
2025-09-14,16:00,Gazişehir Gaziantep,Kocaelispor,Süper Lig,Turkey,Away Under 1.5,Away Team Under 1.5 Goals,1.794118164283412,6.5,12.8,62.9,0.128,0.39,Low Risk
2025-09-14,18:00,Leones Negros UDG,CA La Paz,Liga de Expansión MX,Mexico,Home/Draw,Home Win or Draw,1.82,6.4,13.1,62.2,0.131,0.388,Medium Risk
2025-09-14,16:30,Sporting Gijon,Burgos,Segunda División,Spain,Home Under 1.5,Home Team Under 1.5 Goals,1.595722281320778,4.4,6.5,66.8,0.065,0.387,Low Risk
2025-09-14,13:00,Pisa,Udinese,Serie A,Italy,Home Under 1.5,Home Team Under 1.5 Goals,1.798638363908467,6.6,13.2,63.0,0.132,0.387,Low Risk
2025-09-14,16:30,Osasuna,Rayo Vallecano,La Liga,Spain,Home Under 1.5,Home Team Under 1.5 Goals,1.5774058512071458,4.0,5.8,67.1,0.058,0.386,Low Risk
2025-09-14,10:30,AS Roma,Torino,Serie A,Italy,Away Under 1.5,Away Team Under 1.5 Goals,1.536107925603948,3.9,5.3,68.5,0.053,0.385,Low Risk
2025-09-14,11:00,Southampton,Portsmouth,Championship,England,Under 11.5 Corners,Under 11.5 Total Corners,1.6148773530356202,4.1,6.3,65.8,0.063,0.382,Low Risk
2025-09-14,13:00,Pisa,Udinese,Serie A,Italy,Over 2.5,Over 2.5 Goals,1.8790473893117048,6.5,14.4,60.9,0.144,0.382,Medium Risk
2025-09-14,10:15,Motor Lublin,Nieciecza,Ekstraklasa,Poland,Away Under 1.5,Away Team Under 1.5 Goals,1.743277612753377,5.2,9.7,62.9,0.097,0.381,Low Risk
2025-09-14,14:30,Waldhof Mannheim,Energie Cottbus,3. Liga,Germany,Over 2.5,Over 2.5 Goals,1.844516702889054,5.8,12.3,60.9,0.123,0.38,Medium Risk
2025-09-14,12:00,Celta Vigo,Girona,La Liga,Spain,Home,Home Team Win,1.62,3.3,5.1,64.9,0.051,0.375,Low Risk
2025-09-14,10:15,Excelsior,Sparta Rotterdam,Eredivisie,Netherlands,Home/Draw,Home Win or Draw,1.91,5.6,12.8,59.0,0.128,0.374,Medium Risk
2025-09-14,12:00,Osters IF,IFK Varnamo,Allsvenskan,Sweden,Draw/Away,Draw or Away Win,1.73,4.4,8.1,62.5,0.081,0.374,Low Risk
2025-09-14,11:30,Preußen Münster,Fortuna Düsseldorf,2. Bundesliga,Germany,Over 2.5,Over 2.5 Goals,1.8580555124015985,5.3,11.3,59.9,0.113,0.373,Medium Risk
2025-09-14,18:45,Rennes,Lyon,Ligue 1,France,Over 2.5,Over 2.5 Goals,1.7341255991856432,4.3,7.9,62.2,0.079,0.372,Low Risk
2025-09-14,12:30,Utrecht,Groningen,Eredivisie,Netherlands,Away Under 1.5,Away Team Under 1.5 Goals,1.6980833888093745,3.9,6.8,62.9,0.068,0.372,Low Risk
2025-09-14,12:30,Utrecht,Groningen,Eredivisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,1.8560178767532576,5.1,11.0,59.8,0.11,0.372,Medium Risk
2025-09-14,19:00,Barcelona,Valencia,La Liga,Spain,Over 2.5,Over 2.5 Goals,1.8618565136959504,5.1,11.1,59.7,0.111,0.372,Medium Risk
2025-09-14,14:00,Kayserispor,Goztepe,Süper Lig,Turkey,Away Under 1.5,Away Team Under 1.5 Goals,1.684958597770431,3.5,6.0,62.9,0.06,0.37,Low Risk
2025-09-14,11:00,Fayal,CD Olivais e Moscavide,Taça de Portugal,Portugal,Away Under 1.5,Away Team Under 1.5 Goals,1.788170528887774,4.3,8.4,60.6,0.084,0.368,Low Risk
2025-09-14,12:00,Osters IF,IFK Varnamo,Allsvenskan,Sweden,Over 2.5,Over 2.5 Goals,1.8236928365210976,4.5,9.2,59.9,0.092,0.367,Medium Risk
2025-09-14,13:00,Lille,Toulouse,Ligue 1,France,Over 9.5 Corners,Over 9.5 Total Corners,1.790095565494254,4.2,8.2,60.5,0.082,0.366,Low Risk
2025-09-14,18:45,AC Milan,Bologna,Serie A,Italy,Over 2.5,Over 2.5 Goals,1.755756297706179,4.3,8.2,61.6,0.082,0.366,Low Risk
2025-09-14,15:15,Metz,Angers,Ligue 1,France,BTTS No,Both Teams to Score - No,1.85,4.4,9.3,59.1,0.093,0.364,Medium Risk
2025-09-14,19:00,Granada CF,Leganes,Segunda División,Spain,Home Under 1.5,Home Team Under 1.5 Goals,1.7009218047674195,3.1,5.4,62.0,0.054,0.364,Low Risk
2025-09-14,16:00,Sassuolo,Lazio,Serie A,Italy,Over 2.5,Over 2.5 Goals,1.7710174302874084,4.0,7.8,60.9,0.078,0.362,Low Risk
2025-09-14,11:30,SV Elversberg,Dynamo Dresden,2. Bundesliga,Germany,Over 2.5,Over 2.5 Goals,1.7380053734142047,3.1,5.8,60.9,0.058,0.361,Low Risk
2025-09-14,16:00,Gazişehir Gaziantep,Kocaelispor,Süper Lig,Turkey,Over 9.5 Corners,Over 9.5 Total Corners,1.753784235462371,2.9,5.5,60.2,0.055,0.357,Low Risk
2025-09-14,15:00,Universitatea Craiova,Farul Constanta,Liga I,Romania,Over 2.5,Over 2.5 Goals,1.7785919639184118,3.1,6.1,59.7,0.061,0.357,Low Risk
