date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-14,17:30,Empoli,Spezia,Serie B,Italy,Over 1.5,Over 1.5 Goals,2.364691127392461,8.0,51.9,64.2,0.519,0.513,Medium Risk
2025-09-14,16:00,Sassuolo,Lazio,Serie A,Italy,Over 9.5 Corners,Over 9.5 Total Corners,1.865977309016204,8.0,39.5,74.8,0.395,0.513,Medium Risk
2025-09-14,13:30,FC St. Pauli,FC Augsburg,Bundesliga,Germany,Over 1.5,Over 1.5 Goals,2.3633453078302793,8.0,51.8,64.2,0.518,0.512,Medium Risk
2025-09-14,18:45,Rennes,Lyon,Ligue 1,France,Over 9.5 Corners,Over 9.5 Total Corners,1.8402800874486345,8.0,37.6,74.8,0.376,0.512,Medium Risk
2025-09-14,12:45,Oţelul,FC Botosani,Liga I,Romania,BTTS No,Both Teams to Score - No,2.69,8.0,57.9,58.7,0.579,0.509,Medium Risk
2025-09-14,12:00,FC Winterthur,FC Sion,Super League,Switzerland,Draw/Away,Draw or Away Win,2.14,8.0,45.3,67.9,0.453,0.508,Medium Risk
2025-09-14,11:00,Fayal,CD Olivais e Moscavide,Taça de Portugal,Portugal,Over 9.5 Corners,Over 9.5 Total Corners,1.9801713571170951,8.0,40.8,71.1,0.408,0.507,Medium Risk
2025-09-14,15:00,KFUM Oslo,Viking,Eliteserien,Norway,BTTS No,Both Teams to Score - No,1.91,8.0,38.2,72.4,0.382,0.504,Medium Risk
2025-09-14,16:00,Gazişehir Gaziantep,Kocaelispor,Süper Lig,Turkey,BTTS No,Both Teams to Score - No,2.37,8.0,50.0,63.3,0.5,0.503,Medium Risk
2025-09-14,14:45,Telstar,Fortuna Sittard,Eredivisie,Netherlands,Over 1.5,Over 1.5 Goals,2.3131488346196556,8.0,48.6,64.2,0.486,0.503,Medium Risk
2025-09-14,16:00,Sassuolo,Lazio,Serie A,Italy,Draw/Away,Draw or Away Win,2.17,8.0,46.1,67.3,0.461,0.502,Medium Risk
2025-09-14,15:30,Widzew Łódź,Arka Gdynia,Ekstraklasa,Poland,BTTS No,Both Teams to Score - No,2.54,8.0,53.2,60.3,0.532,0.501,Medium Risk
2025-09-14,13:00,Virtus Entella,Mantova,Serie B,Italy,Over 1.5,Over 1.5 Goals,2.3525337419857615,8.0,48.8,63.2,0.488,0.499,Medium Risk
2025-09-14,19:00,Granada CF,Leganes,Segunda División,Spain,BTTS No,Both Teams to Score - No,2.59,8.0,53.5,59.3,0.535,0.497,Medium Risk
2025-09-14,15:00,Sarpsborg 08 FF,Sandefjord,Eliteserien,Norway,Over 9.5 Corners,Over 9.5 Total Corners,1.9939363568912003,8.0,38.9,69.7,0.389,0.495,Medium Risk
2025-09-14,12:00,Celta Vigo,Girona,La Liga,Spain,Away Under 1.5,Away Team Under 1.5 Goals,1.5356162070725936,8.0,23.7,80.6,0.237,0.493,Low Risk
2025-09-14,18:00,Csikszereda,FCSB,Liga I,Romania,Over 1.5,Over 1.5 Goals,1.9698785927697384,8.0,37.6,69.9,0.376,0.492,Medium Risk
2025-09-14,12:00,Celta Vigo,Girona,La Liga,Spain,Over 1.5,Over 1.5 Goals,2.275154348797204,8.0,44.6,63.5,0.446,0.488,Medium Risk
2025-09-14,12:00,FC Andorra,Cordoba,Segunda División,Spain,Under 11.5 Corners,Under 11.5 Total Corners,1.4978843825025985,8.0,21.2,80.9,0.212,0.487,Low Risk
2025-09-14,10:15,Excelsior,Sparta Rotterdam,Eredivisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,2.1739180114818595,8.0,41.6,65.1,0.416,0.485,Medium Risk
2025-09-14,11:00,Southampton,Portsmouth,Championship,England,Home/Draw,Home Win or Draw,2.03,8.0,37.5,67.7,0.375,0.483,Medium Risk
2025-09-14,14:30,Grasshoppers,Lausanne,Super League,Switzerland,Over 1.5,Over 1.5 Goals,2.1229280098556993,8.0,39.6,65.8,0.396,0.482,Medium Risk
2025-09-14,16:30,Osasuna,Rayo Vallecano,La Liga,Spain,Draw/Away,Draw or Away Win,2.23,8.0,42.2,63.8,0.422,0.482,Medium Risk
2025-09-14,15:00,Sarpsborg 08 FF,Sandefjord,Eliteserien,Norway,Home Under 1.5,Home Team Under 1.5 Goals,1.7237462140923008,8.0,28.0,74.3,0.28,0.481,Low Risk
2025-09-14,19:30,SC Braga,GIL Vicente,Primeira Liga,Portugal,BTTS No,Both Teams to Score - No,2.25,8.0,42.5,63.3,0.425,0.481,Medium Risk
2025-09-14,14:30,Grasshoppers,Lausanne,Super League,Switzerland,Over 9.5 Corners,Over 9.5 Total Corners,1.9735803770475664,8.0,35.0,68.4,0.35,0.478,Medium Risk
2025-09-14,14:00,Kayserispor,Goztepe,Süper Lig,Turkey,Over 1.5,Over 1.5 Goals,2.179968830714219,8.0,40.0,64.2,0.4,0.477,Medium Risk
2025-09-14,12:00,Djurgardens IF,Hammarby FF,Allsvenskan,Sweden,Over 1.5,Over 1.5 Goals,2.2662219824580294,8.0,42.0,62.7,0.42,0.477,Medium Risk
2025-09-14,15:15,Paris Saint Germain,Lens,Ligue 1,France,Away Under 1.5,Away Team Under 1.5 Goals,1.6345447456240323,8.0,24.0,75.9,0.24,0.476,Low Risk
2025-09-14,11:00,Fayal,CD Olivais e Moscavide,Taça de Portugal,Portugal,Over 1.5,Over 1.5 Goals,2.1694776665286244,8.0,39.3,64.2,0.393,0.475,Medium Risk
2025-09-14,10:15,Motor Lublin,Nieciecza,Ekstraklasa,Poland,Home Under 1.5,Home Team Under 1.5 Goals,1.704960610327945,8.0,26.1,74.0,0.261,0.474,Low Risk
2025-09-14,15:30,Borussia Mönchengladbach,Werder Bremen,Bundesliga,Germany,Under 11.5 Corners,Under 11.5 Total Corners,1.445492790434073,8.0,16.9,80.9,0.169,0.474,Low Risk
2025-09-14,17:00,Arouca,Casa Pia,Primeira Liga,Portugal,Away Under 1.5,Away Team Under 1.5 Goals,1.7753723014166054,8.0,28.2,72.2,0.282,0.474,Low Risk
2025-09-14,12:00,FC Winterthur,FC Sion,Super League,Switzerland,BTTS No,Both Teams to Score - No,2.21,8.0,39.9,63.3,0.399,0.473,Medium Risk
2025-09-14,14:30,FC Luzern,BSC Young Boys,Super League,Switzerland,Over 1.5,Over 1.5 Goals,1.9610425545270744,8.0,33.3,68.0,0.333,0.472,Medium Risk
2025-09-14,16:00,Gazişehir Gaziantep,Kocaelispor,Süper Lig,Turkey,Home/Away,Home Win or Away Win (No Draw),1.35,8.0,12.7,83.5,0.127,0.472,Low Risk
2025-09-14,11:00,Southampton,Portsmouth,Championship,England,Over 1.5,Over 1.5 Goals,2.155302024762785,8.0,38.2,64.1,0.382,0.471,Medium Risk
2025-09-14,11:00,Southampton,Portsmouth,Championship,England,BTTS No,Both Teams to Score - No,2.18,8.0,38.6,63.6,0.386,0.47,Medium Risk
2025-09-14,15:00,Ham-Kam,Stromsgodset,Eliteserien,Norway,Over 9.5 Corners,Over 9.5 Total Corners,1.8681297099618213,8.0,30.3,69.7,0.303,0.47,Medium Risk
2025-09-14,19:00,Barcelona,Valencia,La Liga,Spain,Away Under 1.5,Away Team Under 1.5 Goals,1.608876769043083,8.0,22.1,75.9,0.221,0.47,Low Risk
2025-09-14,10:30,AS Roma,Torino,Serie A,Italy,Home Over 1.5,Home Team Over 1.5 Goals,2.1567874989935754,8.0,38.8,64.4,0.388,0.469,Medium Risk
2025-09-14,11:30,VfL Osnabrück,Hansa Rostock,3. Liga,Germany,Under 11.5 Corners,Under 11.5 Total Corners,1.4158451647569832,8.0,14.6,80.9,0.146,0.467,Low Risk
2025-09-14,12:30,Utrecht,Groningen,Eredivisie,Netherlands,BTTS No,Both Teams to Score - No,2.39,8.0,42.8,59.7,0.428,0.467,Medium Risk
2025-09-14,15:00,Universitatea Craiova,Farul Constanta,Liga I,Romania,Over 9.5 Corners,Over 9.5 Total Corners,1.7034845314368032,8.0,24.4,73.0,0.244,0.465,Low Risk
2025-09-14,17:30,TSV 1860 München,Havelse,3. Liga,Germany,Away Under 1.5,Away Team Under 1.5 Goals,1.6033166061638426,8.0,20.9,75.4,0.209,0.465,Low Risk
2025-09-14,16:00,Fenerbahce,Trabzonspor,Süper Lig,Turkey,Under 11.5 Corners,Under 11.5 Total Corners,1.3969761195453485,8.0,13.0,80.9,0.13,0.463,Low Risk
2025-09-14,15:00,Universitatea Craiova,Farul Constanta,Liga I,Romania,Home/Away,Home Win or Away Win (No Draw),1.39,8.0,12.7,81.1,0.127,0.462,Low Risk
2025-09-14,16:00,Sassuolo,Lazio,Serie A,Italy,Home/Away,Home Win or Away Win (No Draw),1.31,8.0,10.2,84.1,0.102,0.462,Low Risk
2025-09-14,16:00,Fenerbahce,Trabzonspor,Süper Lig,Turkey,BTTS No,Both Teams to Score - No,2.42,8.0,42.1,58.7,0.421,0.461,Medium Risk
2025-09-14,15:15,Metz,Angers,Ligue 1,France,Over 9.5 Corners,Over 9.5 Total Corners,1.7323555365929733,8.0,24.4,71.8,0.244,0.46,Low Risk
2025-09-14,14:30,Sirius,Gais,Allsvenskan,Sweden,Under 11.5 Corners,Under 11.5 Total Corners,1.427172410255276,8.0,13.8,79.7,0.138,0.46,Low Risk
2025-09-14,15:15,Paris Saint Germain,Lens,Ligue 1,France,Under 11.5 Corners,Under 11.5 Total Corners,1.4611362384884896,8.0,15.0,78.7,0.15,0.46,Low Risk
2025-09-14,12:30,Bryne,Tromso,Eliteserien,Norway,BTTS No,Both Teams to Score - No,1.91,8.0,29.5,67.8,0.295,0.46,Medium Risk
2025-09-14,13:00,FF Jaro,AC Oulu,Veikkausliiga,Finland,Draw/Away,Draw or Away Win,2.12,8.0,34.8,63.6,0.348,0.459,Medium Risk
2025-09-14,14:30,IF Elfsborg,Malmo FF,Allsvenskan,Sweden,Under 11.5 Corners,Under 11.5 Total Corners,1.4258379335191536,8.0,12.8,79.1,0.128,0.455,Low Risk
2025-09-14,14:15,Levante,Real Betis,La Liga,Spain,Under 11.5 Corners,Under 11.5 Total Corners,1.3641702104198166,8.0,10.3,80.9,0.103,0.455,Low Risk
2025-09-14,14:15,Levante,Real Betis,La Liga,Spain,Home/Away,Home Win or Away Win (No Draw),1.26,8.0,6.0,84.1,0.06,0.454,Low Risk
2025-09-14,23:00,Club Queretaro,Monterrey,Liga MX,Mexico,Home/Away,Home Win or Away Win (No Draw),1.26,8.0,6.0,84.1,0.06,0.454,Low Risk
2025-09-14,19:00,Granada CF,Leganes,Segunda División,Spain,Home/Away,Home Win or Away Win (No Draw),1.37,8.0,10.5,80.7,0.105,0.454,Low Risk
2025-09-14,14:45,Telstar,Fortuna Sittard,Eredivisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,1.7916308074425578,8.0,25.0,69.7,0.25,0.454,Low Risk
2025-09-14,14:30,FC Luzern,BSC Young Boys,Super League,Switzerland,Over 9.5 Corners,Over 9.5 Total Corners,1.7835168088946496,8.0,24.4,69.7,0.244,0.452,Low Risk
2025-09-14,15:30,Borussia Mönchengladbach,Werder Bremen,Bundesliga,Germany,Home Under 1.5,Home Team Under 1.5 Goals,1.7270322337126651,8.0,22.5,70.9,0.225,0.451,Low Risk
2025-09-14,17:00,Arouca,Casa Pia,Primeira Liga,Portugal,Home/Draw,Home Win or Draw,2.0,8.0,30.2,65.1,0.302,0.451,Medium Risk
2025-09-14,16:30,Castellón,AD Ceuta FC,Segunda División,Spain,Under 11.5 Corners,Under 11.5 Total Corners,1.34316917609742,8.0,8.6,80.9,0.086,0.449,Low Risk
2025-09-14,18:45,AC Milan,Bologna,Serie A,Italy,Home/Away,Home Win or Away Win (No Draw),1.3,8.0,7.6,82.8,0.076,0.449,Low Risk
