date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-11,17:00,Brann W,Manchester United W,UEFA Champions League Women,World,Over 1.5,Over 1.5 Goals,2.2203619992492647,8.0,54.9,69.8,0.549,0.842,Medium Risk
2025-09-11,17:30,St. Pölten W,Fortuna Hjørring,UEFA Champions League Women,World,Home Over 1.5,Home Team Over 1.5 Goals,3.046262933165229,8.0,91.6,62.9,0.916,0.779,High Risk
2025-09-11,18:30,Roma W,Sporting CP W,UEFA Champions League Women,World,Over 9.5 Corners,Over 9.5 Total Corners,2.6587349579171464,8.0,67.4,62.9,0.674,0.716,Medium Risk
2025-09-11,17:00,Paris FC W,Austria Wien W,UEFA Champions League Women,World,Over 9.5 Corners,Over 9.5 Total Corners,1.9878264974220512,8.0,46.1,73.5,0.461,0.63,Medium Risk
2025-09-11,17:30,Vorskla Poltava W,OH Leuven W,UEFA Champions League Women,World,Over 1.5,Over 1.5 Goals,1.911618317088194,8.0,38.3,72.3,0.383,0.514,Medium Risk
2025-09-11,17:00,Häcken,Atletico Madrid W,UEFA Champions League Women,World,Over 9.5 Corners,Over 9.5 Total Corners,1.977217902273806,8.0,27.9,64.7,0.279,0.283,Medium Risk
