date,kick_off,home_team,away_team,league,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-10,14:00,Molodechno-DYuSSh 4,Neman,Premier League,Over 9.5 Corners,Over 9.5 Total Corners,1.8430644273310974,8.0,36.6,74.1,0.366,0.466,Medium Risk
2025-09-10,00:00,Curaçao,Bermuda,World Cup - Qualification CONCACAF,Over 9.5 Corners,Over 9.5 Total Corners,1.9472015550738464,8.0,41.4,72.6,0.414,0.43,Medium Risk
2025-09-10,02:00,Costa Rica,Haiti,World Cup - Qualification CONCACAF,BTTS No,Both Teams to Score - No,2.22,8.0,38.7,62.5,0.387,0.408,Medium Risk
