rank,kick_off,home_team,away_team,league,country,bet_type,odds,edge_percent,confidence_percent,quality_score,stake_percent
1,13:00,Burnley,Liverpool,Premier League,England,Away -1,6.84,461.5,82.1,1.813,8.0
2,12:30,Heracles,AZ Alkmaar,Eredivisie,Netherlands,Away -1,6.70,449.3,82.1,1.776,8.0
3,15:15,Paris Saint Germain,Lens,Ligue 1,France,Home -1,6.01,350.9,75.0,1.453,8.0
4,19:30,SC Braga,GIL Vicente,Primeira Liga,Portugal,Home -1,3.60,185.3,79.4,0.973,8.0
5,12:00,Celta Vigo,Girona,La Liga,Spain,BTTS No,2.65,130.7,87.1,0.840,8.0
6,16:30,Sporting Gijon,Burgos,Segunda División,Spain,Over 11.5 Corners,4.03,153.9,63.0,0.814,8.0
7,13:00,Burnley,Liverpool,Premier League,England,Over 11.5 Corners,3.61,145.3,68.0,0.808,8.0
8,10:15,Motor Lublin,Nieciecza,Ekstraklasa,Poland,BTTS No,2.46,98.6,80.7,0.719,8.0
