date,kick_off,home_team,away_team,league,country,market,odds,confidence_percent,edge_percent,quality_score,volume_score,tier,expected_value,recommended_stake
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Home Under 1.5,1.55,72.5%,12.2%,0.089,0.417,VOLUME,0.12,1-2%
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Away Over 1.5,3.92,62.2%,143.8%,0.894,0.921,VOLUME,1.44,1-2%
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Over 9.5 Corners,1.89,59.3%,12.0%,0.071,0.347,VOLUME,0.12,1-2%
