date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Over 9.5 Corners,Over 9.5 Total Corners,2.094391204794327,8.0,68.3,80.4,0.683,0.626,Medium Risk
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Over 1.5,Over 1.5 Goals,2.160684047049986,8.0,53.6,71.1,0.536,0.545,Medium Risk
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,BTTS No,Both Teams to Score - No,1.9,7.9,17.8,62.0,0.178,0.401,Medium Risk
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Poland,Home Under 1.5,Home Team Under 1.5 Goals,1.6038216388704212,6.0,9.0,68.0,0.09,0.399,Low Risk
