rank,kick_off,home_team,away_team,league,country,bet_type,odds,edge_percent,confidence_percent,quality_score,stake_percent
1,18:45,Weston-super-Mare,Taunton Town,FA Cup,England,Over 11.5 Corners,4.28,150.0,58.4,0.784,8.0
2,18:00,FC OSS,VVV Venlo,Eerste Divisie,Netherlands,Over 11.5 Corners,4.05,136.7,58.4,0.744,8.0
3,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Germany,Over 11.5 Corners,3.62,111.7,58.4,0.669,8.0
4,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Germany,Home Over 1.5,3.45,106.9,59.9,0.660,8.0
5,18:00,FC OSS,VVV Venlo,Eerste Divisie,Netherlands,Over 9.5 Corners,1.98,63.4,82.6,0.621,8.0
6,18:45,Tonbridge Angels,Steyning Town,FA Cup,England,Away,3.00,83.6,61.2,0.596,8.0
7,18:45,Witham Town,Mulbarton Wanderers,FA Cup,England,Over 1.5,2.22,64.2,73.8,0.588,8.0
8,18:45,Horsham,Westfield (Surrey),FA Cup,England,Over 1.5,2.22,63.0,73.5,0.583,8.0
